ref,imageLink,title,description,creationYear
https://mubi.com/en/ru/films/fantastic-planet,https://images.mubicdn.net/images/film/17980/cache-42219-1581456012/image-w1280.jpg?size=700x,Fantastic Planet,"René Laloux’s beloved fantasia is a shimmering treasure in the canon of science-fiction cinema. Cosmic landscapes populated by strange, otherworldly creatures—thanks to the distinct cut-out animations of Roland Topor—and set to an ice-cool psychedelic jazz score: The results are out of this world.",1973
https://mubi.com/en/ru/films/great-freedom,https://images.mubicdn.net/images/film/307322/cache-683137-1646242448/image-w1280.jpg?size=800x,Great Freedom,"In post-war Germany, liberation by the Allies does not mean freedom for everyone. Hans is imprisoned again and again under Paragraph 175, a law criminalizing homosexuality. Over the course of decades, he develops an unlikely yet tender bond with his cellmate Viktor, a convicted murderer.",2021
https://mubi.com/en/ru/films/the-shining,https://images.mubicdn.net/images/film/405/cache-47097-1612536788/image-w1280.jpg?size=800x,The Shining,A frustrated writer takes the job as caretaker of a remote mountainside hotel for the winter with his young family in tow. An evil presence lurking within causes his mental disintegration into madness and murder.,1980
https://mubi.com/en/ru/films/happy-together,https://images.mubicdn.net/images/film/337/cache-8093-1670226328/image-w1280.jpg?size=800x,Happy Together,"Lai and his lover Ho go on a trip to Buenos Aires from Hong Kong. Their torrid relationship lives out among lusty tango bars and the salsa music of La Boca sidewalks. But tensions grow between the two lovers, as they find themselves far from home with their lives drifting in opposite directions.",1997
https://mubi.com/en/ru/films/rear-window,https://images.mubicdn.net/images/film/162/cache-47679-1581436823/image-w1280.jpg?size=800x,Rear Window,"Professional photographer, J.B.Jeffries, is confined to his Greenwich Village apartment after breaking his leg. He looks in on the intimate dramas at play in his neighbours’ apartments. Eventually, he becomes convinced that a salesman murdered his nagging wife.",1954
https://mubi.com/en/ru/films/fallen-angels,https://images.mubicdn.net/images/film/391/cache-25588-1617995748/image-w1280.jpg?size=800x,Fallen Angels,"Two tales of crimes intertwine in present-day Hong Kong. A coolly detached hitman wants to finally escape a life of violence—much to the dismay of his partner who is secretly besotted with him. Meanwhile, a mute ex-convict repeatedly encounters a girl during his nights of wreaking havoc.",1995
https://mubi.com/en/ru/films/psycho,https://images.mubicdn.net/images/film/148/cache-47486-1569902403/image-w1280.jpg?size=800x,Psycho,"Marion, frustrated with her job and her lover, decides to follow a sudden impulse to steal $40,000 and leave town. She stops for the night at the ramshackle Bates Motel and meets the proprietor Norman Bates, a young man with an interest in taxidermy and a difficult relationship with his mother.",1960
https://mubi.com/en/ru/films/frances-ha,https://images.mubicdn.net/images/film/99721/cache-64571-1535029761/image-w1280.jpg?size=800x,Frances Ha,"A New York woman (who doesn’t really have an apartment) apprentices for a dance company (though she’s not really a dancer) and throws herself headlong into her dreams, even as the possibility of realizing them dwindles.",2012
https://mubi.com/en/ru/films/salut-les-cubains,https://images.mubicdn.net/images/film/25418/cache-17086-1628006546/image-w1280.jpg?size=800x,Salut les Cubains,"Cuba, 1963. Four years after Fidel Castro has come into power, Agnès Varda arrives in the country—with a camera in hand—and documents its buzzing post-revolution culture and society. Back in Paris, Varda assembles over 1,800 photographs into a rhythmic photo montage—narrating it with Michel Piccoli.",1963
https://mubi.com/en/ru/films/the-great-dictator,https://images.mubicdn.net/images/film/174/cache-47625-1692733615/image-w1280.jpg?size=800x,The Great Dictator,"After dedicated service in WWI, a Jewish barber spends years in an army hospital, unaware of the rise of a fascist, anti-Semitic dictator, whom he bears an uncanny resemblance to. When he returns to his neighborhood, he is stunned by the brutal changes, and recklessly joins a girl in rebelling.",1940
https://mubi.com/en/ru/films/vertigo,https://images.mubicdn.net/images/film/339/cache-8094-1577260810/image-w1280.jpg?size=800x,Vertigo,"In San Francisco, an ex-police officer who suffers from an intense fear of heights rescues a mysterious blonde from the bay and must unravel the secrets of the past to find the key to his future. The pair become trapped in a dizzying web of mistaken identity, passion and murder.",1958
https://mubi.com/en/ru/films/the-sacrifice,https://images.mubicdn.net/images/film/401/cache-8128-1721948999/image-w1280.jpg?size=700x,The Sacrifice,"Winner of the Grand Prix at the Cannes Film Festival, this shattering masterwork was the final film by Russian visionary Andrei Tarkovsky. Shot in Sweden by legendary cinematographer Sven Nykvist and newly restored in 4K, The Sacrifice is a profound metaphysical interrogation of the artistic soul.",1986
https://mubi.com/en/ru/films/the-seventh-seal,https://images.mubicdn.net/images/film/173/cache-47562-1558111471/image-w1280.jpg?size=800x,The Seventh Seal,"A Knight and his squire are home from the crusades. Black Death is sweeping their country. As they approach home, Death appears to the knight and tells him it is his time. The knight challenges Death to a chess game for his life.",1957
